strain	cluster
USA/WA-CDC-UW22030142753/2022	1
USA/WA-CDC-UW22021499698/2022	2
USA/WA-CDC-UW22030562113/2022	3
USA/WA-CDC-UW22030627985/2022	4
USA/WA-CDC-UW22030376122/2022	5
USA/WA-CDC-UW22030506573/2022	5
USA/WA-CDC-UW22020456957/2022	6
USA/WA-CDC-UW22030130099/2022	7
USA/WA-CDC-LC0561796/2022	8
USA/WA-CDC-UW22030425023/2022	9
USA/WA-CDC-UW22030559954/2022	10
USA/WA-CDC-UW22020968936/2022	11
USA/WA-CDC-UW22030103645/2022	12
USA/WA-UW-22020965825/2022	13
USA/WA-CDC-UW22020951843/2022	13
USA/WA-UW-22022311442/2022	14
USA/WA-CDC-LC0551554/2022	15
USA/WA-CDC-UW22030219809/2022	16
USA/WA-CDC-UW22030204652/2022	17
USA/WA-CDC-UW22022805748/2022	18
USA/WA-PHL-015945/2022	19
USA/WA-CDC-UW22030163649/2022	20
USA/WA-CDC-UW22030418355/2022	21
USA/WA-CDC-UW22030167149/2022	21
USA/WA-CDC-UW22022597162/2022	22
USA/WA-CDC-UW22020955051/2022	23
USA/WA-S19209/2022	24
USA/WA-CDC-LC0499578/2022	25
USA/WA-S18124/2022	26
USA/WA-UW-22022311436/2022	27
USA/WA-CDC-UW22030541717/2022	28
USA/WA-CDC-UW22020903087/2022	29
USA/WA-UW-22022191677/2022	30
USA/WA-S19201/2022	31
USA/WA-CDC-UW22022803675/2022	32
USA/WA-CDC-UW22021666977/2022	32
USA/WA-CDC-UW22030477682/2022	33
USA/WA-CDC-UW22030134927/2022	34
USA/WA-UW-22022332408/2022	35
USA/WA-UW-22030330167/2022	35
USA/WA-CDC-UW22030172084/2022	35
USA/WA-CDC-UW22022803969/2022	35
USA/WA-CDC-UW22030278786/2022	35
USA/WA-CDC-UW22030251941/2022	35
USA/WA-CDC-UW22030477100/2022	36
USA/WA-PHL-016150/2022	37
USA/WA-CDC-LC0529019/2022	37
USA/WA-PHL-014954/2022	37
USA/WA-PHL-014955/2022	37
USA/WA-PHL-016151/2022	38
USA/WA-CDC-LC0560104/2022	39
USA/WA-CDC-LC0561622/2022	39
USA/WA-CDC-UW22030422113/2022	40
USA/WA-CDC-UW22030375307/2022	41
USA/WA-CDC-UW22030157156/2022	41
USA/WA-CDC-UW22030354220/2022	41
USA/WA-CDC-UW22022653264/2022	42
USA/WA-CDC-UW22022626680/2022	43
USA/WA-CDC-UW22021498680/2022	44
USA/WA-CDC-UW22021948663/2022	45
USA/WA-CDC-UW22030145449/2022	46
USA/WA-CDC-UW22030244725/2022	47
USA/WA-CDC-UW22022563265/2022	48
USA/WA-CDC-UW22021009723/2022	49
USA/WA-PHL-014851/2022	50
USA/WA-CDC-UW22030459769/2022	51
USA/WA-S17943/2022	52
USA/WA-UW-22021771512/2022	53
USA/WA-UW-22030112689/2022	53
USA/WA-CDC-UW22030543824/2022	54
USA/WA-CDC-UW22030163515/2022	55
USA/WA-CDC-UW22022810831/2022	56
USA/WA-CDC-UW22022897631/2022	56
USA/WA-S19224/2022	57
USA/WA-S19069/2022	58
USA/WA-CDC-UW22030451209/2022	59
USA/WA-CDC-UW22021402152/2022	60
USA/WA-S18797/2022	61
USA/WA-CDC-UW22022356761/2022	62
USA/WA-CDC-UW22030677903/2022	63
USA/WA-PHL-010084/2022	64
USA/WA-CDC-UW22021257407/2022	65
USA/WA-CDC-UW22021270818/2022	65
USA/WA-CDC-UW22021480340/2022	65
USA/WA-CDC-UW22021835754/2022	65
USA/WA-UW-22021813116/2022	65
USA/WA-CDC-UW22021043726/2022	65
USA/WA-CDC-LC0521589/2022	65
USA/WA-CDC-UW22021030240/2022	65
USA/WA-CDC-UW22021690971/2022	65
USA/WA-CDC-LC0557138/2022	65
USA/WA-CDC-UW22022547816/2022	65
USA/WA-CDC-UW22022523541/2022	65
USA/WA-CDC-UW22021494661/2022	66
USA/WA-CDC-UW22021463659/2022	66
USA/WA-PHL-015910/2022	67
USA/WA-CDC-UW22030129519/2022	67
USA/WA-CDC-UW22030245863/2022	68
USA/WA-CDC-UW22030111072/2022	69
USA/WA-PHL-015930/2022	70
USA/WA-CDC-UW22030136693/2022	70
USA/WA-CDC-UW22030222047/2022	70
USA/WA-CDC-UW22030279346/2022	70
USA/WA-CDC-UW22030207958/2022	70
USA/WA-CDC-UW22030253310/2022	70
USA/WA-CDC-LC0561597/2022	70
USA/WA-S19110/2022	70
USA/WA-CDC-UW22030433564/2022	70
USA/WA-CDC-UW22030185692/2022	71
USA/WA-CDC-UW22030470099/2022	72
USA/WA-CDC-UW22030544696/2022	73
USA/WA-CDC-UW22021078498/2022	74
USA/WA-UW-22021249796/2022	74
USA/WA-S19075/2022	75
USA/WA-S19418/2022	75
USA/WA-CDC-UW22030151981/2022	76
USA/WA-CDC-UW22030188172/2022	76
USA/WA-CDC-UW22030275368/2022	77
USA/WA-CDC-UW22030456648/2022	78
USA/WA-CDC-UW22030666823/2022	79
USA/WA-CDC-UW22030206482/2022	80
USA/WA-S19076/2022	80
USA/WA-CDC-UW22030235474/2022	80
USA/WA-CDC-UW22030109813/2022	81
USA/WA-CDC-UW22030283489/2022	82
USA/WA-CDC-UW22030393746/2022	83
USA/WA-CDC-LC0554902/2022	84
USA/WA-UW-22030522877/2022	85
USA/WA-UW-22021757002/2022	86
USA/WA-CDC-UW22030391267/2022	87
USA/WA-CDC-UW22030530959/2022	87
USA/WA-CDC-UW22030459293/2022	88
USA/WA-CDC-UW22030530088/2022	89
USA/WA-CDC-UW22030686644/2022	90
