strain	cluster
USA/WA-UW-21050529358/2021	1
USA/WA-UW-21050476716/2021	2
USA/WA-UW-2021041397284/2021	3
USA/WA-UW-2021041489375/2021	3
USA/WA-Altius-ALTCOV-NBDJ5QXGCUU6C2F6/2021	3
USA/WA-UW-65398/2021	4
USA/WA-UW-69277/2021	5
USA/WA-S5493/2021	6
USA/WA-S8260/2021	7
USA/WA-UW-21042927377/2021	8
USA/WA-Altius-ALTCOV-NJ5ABYTQI4ZIAXEZ/2021	8
USA/WA-Altius-ALTCOV-NP4FGPSTBZX6KUF4/2021	8
USA/WA-UW-21042993213/2021	9
USA/WA-CDC-UW21051776188/2021	10
USA/WA-UW-21050700487/2021	11
USA/WA-S8135/2021	12
USA/WA-CDC-UW21051213031/2021	13
USA/WA-UW-21042250921/2021	14
USA/WA-UW-21050381501/2021	15
USA/WA-UW-21050324498/2021	16
USA/WA-CDC-UW21050429001/2021	17
USA/WA-CDC-UW21050465939/2021	18
USA/WA-UW-21050348804/2021	19
USA/WA-CDC-UW21050452118/2021	20
USA/WA-UW-21050478813/2021	21
USA/WA-S5728/2021	22
USA/WA-S5645/2021	23
USA/WA-S5646/2021	23
USA/WA-S6183/2021	24
USA/WA-UW-69000/2021	25
USA/WA-UW-2021040107323/2021	25
USA/WA-UW-67215/2021	25
USA/WA-UW-67325/2021	25
USA/WA-UW-67811/2021	25
USA/WA-UW-69659/2021	25
USA/WA-UW-68931/2021	25
USA/WA-UW-21041259014/2021	25
USA/WA-S6129/2021	25
USA/WA-S8170/2021	25
USA/WA-UW-2021040509964/2021	25
USA/WA-CDC-UW21041992578/2021	25
USA/WA-UW-21042722641/2021	25
USA/WA-UW-21042672109/2021	25
USA/WA-UW-21042077297/2021	25
USA/WA-UW-21042266196/2021	25
USA/WA-UW-68975/2021	25
USA/WA-UW-21041257743/2021	25
USA/WA-Altius-ALTCOV-3OHVIN3XXFJESISV/2021	25
USA/WA-Altius-ALTCOV-MISNH5XTVRUXYADN/2021	25
USA/WA-UW-21041652157/2021	25
USA/WA-UW-21041753921/2021	25
USA/WA-Altius-ALTCOV-SM3RH355BUFLZVSN/2021	25
USA/WA-CDC-UW21050154667/2021	26
USA/WA-CDC-LC0032021/2021	27
USA/WA-UW-67355/2021	28
USA/WA-UW-67169/2021	29
USA/WA-UW-68998/2021	30
USA/WA-UW-2021033006696/2021	30
USA/WA-UW-2021033105059/2021	31
USA/WA-UW-2021041505857/2021	32
USA/WA-UW-21041722317/2021	32
USA/WA-UW-21041984785/2021	32
USA/WA-UW-2021041442304/2021	33
USA/WA-UW-2021040506973/2021	34
USA/WA-UW-2021041445266/2021	35
USA/WA-UW-21042058324/2021	36
USA/WA-Altius-ALTCOV-UIT6P4TIQ7MV4GVD/2021	37
USA/WA-S5499/2021	38
USA/WA-UW-2021040202199/2021	39
USA/WA-UW-2021040645885/2021	39
USA/WA-UW-2021040600348/2021	39
USA/WA-UW-2021040664202/2021	39
USA/WA-UW-2021041593708/2021	40
USA/WA-UW-2021041271739/2021	41
USA/WA-UW-2021041416068/2021	42
USA/WA-CDC-UW21061853056/2021	43
USA/WA-CDC-UW21061553212/2021	44
USA/WA-UW-21042800996/2021	45
USA/WA-UW-21042872983/2021	46
USA/WA-Altius-ALTCOV-4QSAQFQAPTI6VISY/2021	47
USA/WA-Altius-ALTCOV-G6GGWSNOAF3LABAN/2021	47
USA/WA-Altius-ALTCOV-3G4DCNVU5SFSBEHB/2021	48
USA/WA-CDC-UW21060762455/2021	49
USA/WA-CDC-UW21060302748/2021	50
USA/WA-UW-2021040306191/2021	51
USA/WA-UW-66100/2021	52
USA/WA-CDC-UW21050128211/2021	53
USA/WA-CDC-UW21051317535/2021	54
USA/WA-CDC-UW21051101655/2021	55
USA/WA-UW-21042051353/2021	56
USA/WA-UW-21042115910/2021	56
USA/WA-UW-2021041381286/2021	57
USA/WA-CDC-UW21072026636/2021	58
USA/WA-CDC-UW21050627355/2021	59
USA/WA-CDC-LC0070938/2021	60
USA/WA-S7434/2021	61
USA/WA-CDC-UW21061451910/2021	61
USA/WA-UW-21050827557/2021	62
USA/WA-UW-69310/2021	63
USA/WA-UW-2021040103356/2021	63
USA/WA-S8196/2021	64
USA/WA-Altius-ALTCOV-ZKULUWUDPPX5RXQM/2021	64
USA/WA-CDC-UW21051047046/2021	65
USA/WA-CDC-LC0059135/2021	66
USA/WA-UW-21042988540/2021	67
USA/WA-Altius-ALTCOV-WMGIBVCS5EMHSOT7/2021	67
USA/WA-CDC-UW21061251866/2021	68
