,deme,interval,mean_Ne_log,mean_Ne_linear,upper_hpd_log_95,lower_hpd_log_95,upper_hpd_log_50,lower_hpd_log_50,upper_hpd_linear,lower_hpd_linear,diff_mean_Ne_log,diff_upper_hpd_log_95,diff_lower_hpd_log_95,diff_upper_hpd_log_50,diff_lower_hpd_log_50,diff_upper_hpd_linear,diff_lower_hpd_linear,diff_upper_hpd_linear_50,diff_lower_hpd_linear_50,days,date
0,0,0,3.381324919270957,2406.1623073723654,7.2729681552758985,0.6881555684688676,3.303362488168848,1.4869018886210295,18748570.287848867,4.877031587891618,-0.09979687811827792,0.15513577938790402,-0.3656595224706498,0.004765243326505075,-0.1654238786651192,1.1678165157523481,0.6937389635318096,1.0047766151544861,0.8475343761975574,0,2022-03-06
0,0,1,3.4811217973892354,3027.762441546658,7.463832114999853,0.8195350008261648,3.4833225358010216,1.6470092128755167,29095921.41064396,6.599864219971649,-0.13172838039636972,0.008018106349535259,-0.34375509581210917,-0.048402884543464975,-0.14509216408392822,1.0080503374507939,0.709102568974734,0.9527498615508604,0.8649425727972505,1,2022-03-05
0,0,2,3.6128501777856052,4100.62615838933,7.6734565411941755,0.9110931163291687,3.5538181655234853,1.677321170271151,47147268.98360105,8.148789820858118,0.16356689244557007,0.5661494278536532,-0.19267616082294747,0.17722518623959438,0.027097256593846097,1.7614713037332435,0.8247490169402347,1.1938999126905605,1.0274677259156273,2,2022-03-04
0,0,3,3.449283285340035,2813.735599592292,7.2569831503091695,0.8821781945756135,3.399076611516406,1.6184972098434967,18071040.12905942,7.623917614298889,-0.018392991983046197,0.15863483517233323,-0.16247153571269424,0.002461775632426111,-0.0820311194384713,1.1719099282498453,0.8500402856719562,1.002464808290122,0.9212432896763989,3,2022-03-03
0,0,4,3.4676762773230814,2935.460746724078,7.2853840431324945,0.9734887464447921,3.4342008497423673,1.6547932485055956,19292301.61893717,9.407814519391952,-0.1686296714111577,-0.04596925619345704,-0.32535483948417454,-0.10325410544229108,-0.1813094693107642,0.9550713242673893,0.7222710178903164,0.9018977672304285,0.8341771665137956,4,2022-03-02
0,0,5,3.6363059487342384,4328.186326984622,7.445313203075197,0.9696272685342735,3.6336733944026616,1.7987701320787348,27881311.7908847,9.324536827168584,-0.24496874859463114,-0.07019289056454836,-0.4824523859418379,-0.13863363995413813,-0.2536451404472535,0.9322139872802111,0.6172677553374284,0.8705469036466655,0.7759671125378093,5,2022-03-01
0,0,6,3.881274697328869,7608.073460609883,7.862658594704043,1.0917385808288769,3.8437037014366866,1.9109827822324175,72888429.82845148,12.352036912532654,-0.10705796582501798,0.08534090678916506,-0.265242781723801,-0.06990058925750198,-0.1487717288405488,1.0890882810090603,0.7670197090016774,0.9324865144752272,0.8617658087286738,6,2022-02-28
0,0,7,3.988332663153888,9734.92619216828,7.950159370906112,1.1631474977910492,3.9946400544728133,2.04474716383162,89157805.6115792,14.559534765906445,-0.14786307698562323,0.002296200849792207,-0.3529928574461625,-0.06380731507635495,-0.16884082787415178,1.0022988391379235,0.7025822115905916,0.9381857563664421,0.8446433363621915,7,2022-02-27
0,0,8,4.13619574013951,13683.454113068039,8.102122640035658,1.1949792108482784,4.113899203887394,2.1212327139030167,126509354.5684773,15.666760734238744,-0.13687417052640424,0.031471128700713,-0.3260094189537899,-0.06276503952716439,-0.16641872293767923,1.0319715808051757,0.7217983888140281,0.9391641142115629,0.8466916307473482,8,2022-02-26
0,0,9,4.273069910665916,18752.963600852643,8.295201586066089,1.2691152553898843,4.259422840052401,2.2247314019698345,197333848.62583694,18.582975545913573,-0.0963183416636907,0.4035242840774709,-0.5215220953846442,-0.09461836303799998,-0.38888553415219373,1.4970915872256119,0.5936163193237519,0.9097200510243079,0.677811851881928,9,2022-02-25
0,0,10,4.369388252329606,23409.290566778625,8.42381587384772,1.3394053267939148,4.463596275125591,2.4017160846093866,265348033.7664899,21.847680033600085,-0.07479506231581844,0.17662985033373602,-0.3166449819659176,0.013471012957074535,-0.1438022203064202,1.193189352736448,0.728589371582585,1.0135621558546604,0.8660590200091892,10,2022-02-24
