,PUMA,median_income,household_size,region,sum_essential,total,percent_essential
0,11601,113141.33333333333,2.103333333333333,nKC,7909.666666666667,25951.0,0.3047666756579708
1,11602,87583.33333333333,2.3233333333333337,nKC,7839.0,21526.0,0.36416426646845673
2,11603,117604.75,1.66,nKC,3362.8888888888887,11926.444444444445,0.28190508133489856
3,11604,94083.75,2.245,nKC,8440.5,22544.25,0.3743789921930447
4,11605,89781.33333333333,2.2183333333333333,nKC,5295.666666666667,11683.0,0.4532226311735
5,11606,100738.85714285714,2.438,nKC,7594.2,17706.6,0.4288941601716932
6,11607,124847.0,2.436666666666667,nKC,9123.0,28516.666666666668,0.31992565577219806
7,11608,142123.66666666666,2.5533333333333332,nKC,4050.0,13223.166666666666,0.3062845042728579
8,11609,167394.0,2.8100000000000005,nKC,3882.25,13814.5,0.28101925582742143
9,11610,79519.5,2.4375,sKC,7715.0,13845.75,0.5572408811845432
10,11611,73801.6,2.5999999999999996,sKC,8188.4,12683.6,0.6455885831427896
11,11612,71858.0,2.5775,sKC,11460.5,18392.0,0.6230969986950848
12,11613,77999.0,2.8725,sKC,12717.25,20532.0,0.6193746347165401
13,11614,71000.33333333333,2.81,sKC,8440.0,12284.333333333334,0.6870726147834582
14,11615,106712.375,2.7199999999999998,sKC,7614.125,14889.5,0.5113842434011686
15,11616,140064.0,2.77,nKC,2913.5,7668.625,0.3798904538341158
